State,Site,Site Postcode,Address,Latitude,Longitude,recruitment,Repeat from Wave I,hcv_pos,rna_prev
SA,DASSA Central,5112,"22 Langford Drive, Elizabeth SA 5112",-34.71939306,138.6641696,40,5,3,8
SA,DASSA Northern,5069,91 Magill Road Stepney SA 5069,-34.91496282,138.629817,40,0,3,8
NSW,Newcastle,2300,"670 Hunter Street, Newcastle NSW 2300.",-32.92661757,151.7646988,71,14,14,20
NSW,Wollongong,2500,"2 Rawson St, Wollongong NSW 2500",-34.42419952,150.8904316,51,16,7,14
NSW,Nowra,2541,5 Lawrence Avenue NOWRA NSW 2541,-34.87729994,150.6006252,22,2,1,5
NSW,Kempsey,2440,"Kempsey Drug And Alcohol Service, Polwood St Kempsey NSW 2440",-31.06411396,152.8273678,24,10,5,21
NSW,Coffs Harbour,2450,"343 Pacific Highway, Coffs Harbour NSW 2450",-30.31590703,153.092823,23,9,3,13
NSW,Port Macquarie,2444,"Port Macquarie Drug And Alcohol Service, Morton St, Port Macquarie, NSW 2444",-31.43651802,152.8979881,44,15,2,5
NSW,Riverlands,2480,"75 HUNTER ST, LISMORE NSW 2480",-28.80936275,153.2899069,36,3,6,17
NSW,Royal North Shore,2065,2c Herbert Street St Leonards NSW 2065,-33.82059725,151.1928137,64,15,7,11
NSW,Brookvale,2100,"624 Pittwater Rd, Brookvale NSW 2100",-33.7670796,151.269179,37,6,2,5
WA,Next Step East Perth,6004,"32 Moore St, East Perth WA 6004",-31.95318099,115.8690198,82,5,16,20
WA,Next Step Joondalup,6027,"2/10 Clarke Cres, Joondalup WA 6027",-31.74782423,115.7663372,16,1,3,19
QLD,Cairns,4870,"305 Severin St, Parramatta Park QLD 4870",-16.9220891,145.7615317,81,6,6,7
QLD,Biala,4000,"270 Roma Street, BRISBANE QLD 4000",-27.46608604,153.0163675,143,10,34,24
NSW,Rankin Court,2010,"390 Victoria St, Darlinghurst NSW 2010",-33.8800036,151.220905,82,22,20,24
NSW,Campbelltown,2560,"Park-Side Crescent, Campbelltown Hospital, Campbelltown NSW 2560",-34.07831879,150.8064261,44,10,6,14
NSW,Liverpool,2170,"45 Goulburn St, Liverpool NSW 2170",-33.91800572,150.9286673,98,35,11,11
NSW,Mount Druitt,2770,"Cnr Buran And, Kelly Cl, Mount Druitt NSW 2770",-33.76561607,150.8219428,65,25,15,23
NSW,Fleet Street,2151,"4A Fleet St, North Parramatta NSW 2151",-33.80242268,151.0016771,100,25,13,13
NSW,Blacktown,2148,"7/1 Marcel Cres, Blacktown NSW 2148",-33.77384047,150.9148404,78,25,4,5
NSW,Rozelle,2039,"Broughton Hall, Rozelle NSW 2039",-33.8695957,151.1581201,107,n/a,6,6
